author,full_article_ref,texte,title
Christophe Auffray,https://cryptonaute.fr/bitcoin-sous-la-menace-dun-crack-et-dun-retour-a-20k/,"Retour au pessimisme pour le directeur des investissements de Guggenheim. Comme en janvier, Scott Minerd s’inquiète d’un possible crack du Bitcoin et un ...",Bitcoin sous la menace d’un crack et d’un retour à 20K$
Samuel Cangé,https://cryptonaute.fr/lethereum-bondit-en-dessus-des-2-400-le-bitcoin-peine-a-se-decoller/,"Le Bitcoin, l’Ethereum et les autres cryptos du top 10 hormis le Dogecoin ont subi l’effet de la vague baissière du dimanche. Cependant, ...","l’Ethereum bondit au-dessus des 2.400$, le Bitcoin peine à se décoller!"
Christophe Auffray,https://cryptonaute.fr/bitcoin-fait-de-lombre-a-ethereum-sur-les-frais-de-transaction/,"Les investisseurs Bitcoin font grise mine. L’inflation des coûts de transaction n’est pas le monopole d’Ethereum. Sur Bitcoin, ces frais atteignent des records, ...",Bitcoin fait de l’ombre à Ethereum sur les frais de transaction
Christophe Auffray,https://cryptonaute.fr/wework-accepte-les-paiements-en-cryptomonnaies-dont-bitcoin/,L’entreprise de coworking WeWork s’ouvre à présent aux règlements en cryptomonnaies pour la location de ses espaces de travail. Et le premier client ...,"WeWork accepte les paiements en cryptomonnaies, dont Bitcoin"
Kévin Comitogianni,https://cryptonaute.fr/kevin-mccarthy-le-gouvernement-us-ne-doit-pas-ignorer-le-bitcoin/,"Il est difficile de prévoir ce qu’il adviendra du Bitcoin outre-Atlantique. Le moins que l’on puisse dire, c’est que pour le moment, l’administration ...",Le gouvernement US ne doit pas « ignorer »le Bitcoin d’après un membre du Congrès
Christophe Auffray,https://cryptonaute.fr/2-nouveaux-institutionnels-investissent-dans-la-crypto/,"Deux nouveaux gestionnaires d’actifs, des institutionnels, détiennent désormais de la cryptomonnaie. Brevan Howard et Rothschild Investment ont investi à hauteur de 60 millions ...",2 nouveaux institutionnels investissent dans la crypto
Christophe Auffray,https://cryptonaute.fr/severe-correction-pour-le-marche-des-cryptomonnaies/,"Dimanche 18 avril, le marché de la crypto chutait brutalement de près de 8%. Bitcoin abandonnait ainsi 10.000 dollars pour retomber à 52.000 ...",Sévère correction pour le marché des cryptomonnaies
Christophe Auffray,https://cryptonaute.fr/bitcoin-une-bulle-pour-74-de-gestionnaires-de-fonds/,"Bank of America n’en démord pas, Bitcoin est une bulle. Et la 2e banque américaine enfonce le clou avec un sondage auprès de ...",Bitcoin une bulle pour 74% de gestionnaires de fonds
Christophe Auffray,https://cryptonaute.fr/lassureur-axa-accepte-bitcoin-comme-moyen-de-paiement/,"Payer ses cotisations d’assurance en Bitcoin est désormais possible, du moins en Suisse. La filiale du groupe Axa accepte ce nouveau mode de ...",L’assureur Axa accepte Bitcoin comme moyen de paiement
Kévin Comitogianni,https://cryptonaute.fr/goldman-sachs-reconnait-l-importance-du-bitcoin/,Quelle est l’une des principales différences entre le bull run du Bitcoin de 2017 et celui en cours ? Probablement le fait que le ...,Le Bitcoin « important pour le futur du système financier » pour Goldman Sachs !
Kévin Comitogianni,https://cryptonaute.fr/un-veteran-de-la-cia-defend-le-bitcoin/,"Le succès du Bitcoin fait beaucoup jaser. Outre-Atlantique, le Bitcoin devient une question épineuse sur le plan politique. En effet, il est de ...",Un vétéran de la CIA défend le Bitcoin
Christophe Auffray,https://cryptonaute.fr/bitcoin-bat-un-nouveau-record-a-plus-de-62-000-dollars/,"Depuis le début de l’année 2021, Bitcoin a vu sa valeur progresser de plus de 100%. Et après une phase de consolidation, le ...",Bitcoin bat un nouveau record à plus de 62.000 dollars
